Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id);Liegt auch in
M. longus capitis;;Kopf & Hals;Prävertebrale Muskeln;Kopfgelenke;Wirbelsäule;Procc. transversi C3–C6 (Tubercula anteriora);Pars basilaris ossis occipitalis;Der M. longus capitis beugt den Kopf nach vorn (Inklination) und stabilisiert die obere HWS. Er arbeitet synergistisch mit dem M. longus colli und bildet gemeinsam mit ihm die tiefe zervikale Flexorenschicht.;Flexion des Kopfes (Inklination);Rr. ventrales der Spinalnerven C1–C3;C1–C3;"Der M. longus capitis ist bei HWS-Dysfunktionen und nach Schleudertraumata häufig in seiner Funktion beeinträchtigt; Schwäche zeigt sich durch Verlust der tiefen Nackenstabilisation und Vorschub des Kopfes (Forward Head Posture).";nein;;2;0;ja;M. longus capitis;longus-capitis;
M. longus colli;;Kopf & Hals;Prävertebrale Muskeln;Halswirbelsäule;Wirbelsäule;"Pars verticalis: Wirbelkörper C5–Th3; Pars obliqua superior: Procc. transversi C3–C5; Pars obliqua inferior: Wirbelkörper Th1–Th3";"Tuberculum anterius atlantis (Pars obliqua superior); Wirbelkörper C2–C4 (Pars verticalis); Procc. transversi C5–C6 (Pars obliqua inferior)";Der M. longus colli beugt die Halswirbelsäule nach ventral (Nickbewegung) und stabilisiert sie segmental. Er ist der wichtigste tiefe Flexor der HWS und trägt durch seine permanente Aktivität zur zervikalen Haltungsstabilisation bei.;Flexion der HWS · Lateralflexion · Rotation ipsilateral;Rr. ventrales der Spinalnerven C2–C6;C2–C6;"Der M. longus colli ist der wichtigste tiefe Stabilisator der Halswirbelsäule; seine Schwäche ist mit chronischem Nackenschmerz, HWS-Instabilität und nach Schleudertrauma mit Schwindel und Sehstörungen assoziiert.";nein;;2;0;ja;M. longus colli;longus-colli;
M. psoas major;;Untere Extremität;Hüfte;Art. coxae · LWS;Wirbelsäule · Hüftgelenk;"Wirbelkörper (BWK 12 / LWK 1–4) und Disci intervertebrales; Procc. costales LWK 1–5 (tiefer Anteil)";Trochanter minor des Femur;"Beugt die Hüfte und adduziert den Oberschenkel; bei fixiertem Femur verstärkt er die Lendenlordose; wirkt zudem als Außenrotator im Hüftgelenk";Flexion · Adduktion · Außenrotation;Plexus lumbalis;L1, L2, L3;"Verkürzungen entstehen häufig durch langes Sitzen; klinisch relevant bei LWS-Beschwerden, Hyperlordose und dem sog. Psoassyndrom mit Leisten- und Rückenschmerzen";nein;;1;3;ja;M. psoas major;psoas-major;Hüftgelenk
M. quadratus lumborum;;Wirbelsäule & Rumpf;Bauchmuskulatur;Rumpf · LWS;Wirbelsäule · Bauchwand & Beckenboden;Crista iliaca, Lig. iliolumbale;12. Rippe, Procc. costarii L1–L4;"Hebt einseitig das Becken und neigt die LWS zur gleichen Seite; beidseitig stabilisiert er Lendenregion und 12. Rippe";Lateralflexion · Extension · Rippensenkung;Plexus lumbalis;Th12, L1–L4;LWS-Schmerzen, Beckenschiefstand;nein;;2;0;ja;M. quadratus lumborum;quadratus-lumborum;Bauchwand & Beckenboden
M. semispinalis;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule · Kopf;Wirbelsäule;"M. semispinalis capitis: Procc. transversi der hochthorakalen Wirbel und C3–C6; M. semispinalis cervicis: Procc. transversi der thorakalen Wirbel und C7; M. semispinalis thoracis: Procc. transversi Th7–Th12";"Linea nuchalis superior/inferior (capitis); Procc. spinosi C2–Th1 (cervicis); Procc. spinosi Th1–Th6, C6–C7 (thoracis)";"Beidseitig aktiv streckt der M. semispinalis HWS und BWS kräftig durch; bei einseitiger Kontraktion dreht er den Kopf und die Halswirbelsäule zur Gegenseite, was ihm eine wichtige Rolle bei Rotationsbewegungen des Kopfes verleiht.";Extension · Rotation kontralateral;Rr. dorsales der Spinalnerven;;Wichtiger Kopf- und Nackenextensor;nein;Autochthone Rückenmuskulatur — medialer Trakt;2;0;ja;M. semispinalis;semispinalis;
M. serratus posterior inferior;;Wirbelsäule & Rumpf;Rückenmuskulatur;Rippen;Wirbelsäule;Procc. spinosi Th11–L2, Fascia thoracolumbalis;9.–12. Rippe (lateral der Anguli costae);Senkt die unteren Rippen und unterstützt die forcierte Ausatmung;Rippensenkung (Exspiration);Nn. intercostales;Th9–Th12;Atemhilfsmuskel bei forcierter Ausatmung;nein;;3;0;ja;M. serratus posterior inferior;serratus-posterior-inferior;
M. serratus posterior superior;;Wirbelsäule & Rumpf;Rückenmuskulatur;Rippen;Wirbelsäule;Procc. spinosi C6–Th2, Lig. nuchae;2.–5. Rippe (lateral der Anguli costae);Hebt die oberen Rippen und unterstützt die Einatmung;Rippenhebung (Inspiration);Nn. intercostales;Th1–Th4;Atemhilfsmuskel bei forcierter Einatmung;nein;;3;0;ja;M. serratus posterior superior;serratus-posterior-superior;
M. sternocleidomastoideus;;Kopf & Hals;Halsmuskulatur;Kopfgelenke;Wirbelsäule;"Caput sternale: Manubrium sterni; Caput claviculare: Mediales Klavikuladrittel";"Proc. mastoideus; Linea nuchalis superior (lateraler Anteil)";"Beidseitig zieht der M. sternocleidomastoideus den Kopf in Inklination (Nickbewegung); einseitig rotiert er den Kopf zur Gegenseite und neigt ihn zur gleichen Seite. Er ist zudem ein wichtiger Atemhilfsmuskel bei forcierter Inspiration.";Rotation kontralateral · Lateralflexion ipsilateral · Inklination (bilateral);N. accessorius (XI), Plexus cervicalis C2–C3;C2–C3;"Der M. sternocleidomastoideus ist klinisch bedeutsam beim muskulären Schiefhals (Torticollis); er wird außerdem als Atemhilfsmuskel bei obstruktiver Lungenerkrankung aktiviert und ist ein wichtiges Leitgebilde für Halsoperationen.";nein;;1;0;ja;M. sternocleidomastoideus;sternocleidomastoideus;
Mm. iliocostales;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;Wirbelsäule;"Pars lumbalis: Sakrum und Crista iliaca; Pars thoracalis: 7.–12. Rippe";"Anguli costae Rippen 7–12 (Pars lumbalis); 1.–6. Rippe (Pars thoracalis); Procc. transversi C4–C6 (Pars cervicalis)";"Strecken den Rumpf; einseitig Seitneigung, zervikal zusätzlich Atemhilfe";Extension · Lateralflexion;Rr. dorsales der Spinalnerven;;Rückenschmerzen, muskuläre Dysbalance;nein;Autochthone Rückenmuskulatur — lateraler Trakt;2;0;ja;Mm. iliocostales;iliocostales;
Mm. interspinales;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;Wirbelsäule;Procc. spinosi (zervikal, thorakal, lumbal);Nächsthöhere Procc. spinosi;Die Mm. interspinales wirken als segmentale Extensoren: Durch die Annäherung benachbarter Dornfortsätze leisten sie einen feinen Beitrag zur Aufrichtung der Wirbelsäule und unterstützen dabei propriozeptiv die Gelenkstellung.;Extension;Rr. dorsales der Spinalnerven;;Segmentale Stabilisation;nein;Autochthone Rückenmuskulatur — medialer Trakt;3;0;ja;Mm. interspinales;interspinales;
