Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id);Liegt auch in
M. corrugator supercilii;;Kopf & Hals;Mimikmuskulatur;Stirn · Augenbraue;Mimik & Kopfmuskulatur;Medial unter der Augenbraue (Os frontale, Glabellabereich);Haut der medialen Augenbraue;"Der M. corrugator supercilii zieht die Augenbraue nach medial und inferior und erzeugt senkrechte Falten an der Glabella (Zornesfalte); er drückt Anspannung und Missbilligung aus und antagonisiert den M. frontalis.";Zieht Augenbraue medial und inferior · erzeugt vertikale Glabellafalten (Zornesfalte);N. facialis (VII);;"Zentrales Zielorgan bei Botulinum-Toxin-Behandlung von Zornesfalten (Glabellafalten); Überaktivität → tiefe vertikale Furchen.";nein;Mimische Muskulatur;2;0;ja;M. corrugator supercilii;corrugator-supercilii;
M. digastricus;;Kopf & Hals;Suprahyoidale Muskeln;Kiefergelenk · Zungenbein;Mimik & Kopfmuskulatur · Zungenbein & Kehlkopf;"Venter anterior: Fossa digastrica (Innenseite der Mandibula); Venter posterior: Incisura mastoidea (Os temporale)";Corpus ossis hyoidei (über Zwischensehne);"Der M. digastricus wirkt mit seinen zwei Bäuchen in entgegengesetzten Situationen: Bei fixiertem Zungenbein öffnet er den Mund; bei fixierter Mandibula hebt er das Zungenbein an, was für den oralen und pharyngealen Schluckakt unerlässlich ist.";Zungenbeinanhebung · Mundöffnung;N. mylohyoideus (Vorderbauch, V3) / N. facialis (Hinterbauch, VII);;"Der M. digastricus ist logopädisch relevant bei Schluckstörungen; Lähmungen oder Verspannungen beeinträchtigen die Zungenbeinanhebung und damit die laryngeale Elevation beim Schlucken.";nein;Suprahyoidale Muskeln;1;0;ja;M. digastricus;digastricus;Zungenbein & Kehlkopf
M. masseter;;Kopf & Hals;Kaumuskulatur;Kiefergelenk;Mimik & Kopfmuskulatur;Arcus zygomaticus (unterer Rand und Innenfläche);Tuberositas masseterica (Außenfläche des Ramus mandibulae);Der M. masseter ist der kräftigste Kaumuskel: Er schließt den Mund und hebt den Unterkiefer an. Der oberflächliche Anteil ermöglicht zusätzlich eine Protrusion des Unterkiefers, der tiefe Anteil zieht ihn nach posterior.;Mundschluss (Adduktion des Unterkiefers) · Protrusion;N. massetericus (V3, N. trigeminus);;"Der M. masseter ist der häufigste Ort für Bruxismus-bedingte Muskelhypertrophie; bei Kiefergelenks-Dysfunktionen (CMD) ist er oft druckschmerzhaft und kann zu Kopf- und Ohrschmerzen führen.";nein;Kaumuskulatur;1;0;ja;M. masseter;masseter;
M. mylohyoideus;;Kopf & Hals;Suprahyoidale Muskeln;Kiefergelenk · Zungenbein;Mimik & Kopfmuskulatur · Zungenbein & Kehlkopf;Linea mylohyoidea (Innenfläche des Corpus mandibulae);"Corpus ossis hyoidei; Raphe mylohyoidea";Der M. mylohyoideus hebt den Mundboden und das Zungenbein an – ein entscheidender Schritt beim Schlucken. Bei festem Zungenbein kann er zudem den Unterkiefer absenken und unterstützt so die Mundöffnung.;Mundbodenhebung · Zungenbeinanhebung · Mundöffnung;N. mylohyoideus (V3, N. trigeminus);;"Der M. mylohyoideus spielt eine zentrale Rolle beim Schluckakt; bei Läsionen des N. mylohyoideus nach Weisheitszahn-OPs oder Frakturen des Unterkiefers kann es zu Schluckstörungen und eingeschränkter Mundbodenhebung kommen.";nein;Suprahyoidale Muskeln;1;0;ja;M. mylohyoideus;mylohyoideus;Zungenbein & Kehlkopf
M. nasalis;;Kopf & Hals;Mimikmuskulatur;Nase;Mimik & Kopfmuskulatur;An den Nasenflügeln (Ala nasi);Nasenflügel (Ala nasi);"Pars alaris: Erweitert die Nasenöffnung durch Aufspreizen der Nasenflügel; aktiv bei forcierter Inspiration.";Erweitert / bläht Nasenloch (Pars alaris);N. facialis (VII);;"Schwäche der Pars alaris → verminderte Nasenflügelerweiterung bei forciertem Einatmen; auffällig bei Fazialisparese.";nein;Mimische Muskulatur;3;0;ja;M. nasalis;nasalis-head-mimikmuskulatur-erweitert-blaht-nasenloch-pars-alaris;
M. occipitofrontalis;;Kopf & Hals;Mimikmuskulatur;Galea · Kopfhaut;Mimik & Kopfmuskulatur;Linea nuchalis superior (Os occipitale) und Mastoidregion;Galea aponeurotica (hinteres Blatt);"Zieht Galea aponeurotica nach dorsal; Antagonist zum Venter frontalis; ermöglicht gleitende Kopfhautbewegung.";Zieht Kopfhaut nach dorsal · fixiert Galea aponeurotica;N. facialis (VII), R. auricularis posterior;;"Verspannungen des Venter occipitalis können zu okzipitalen Kopfschmerzen beitragen; häufig begleitend bei Nackenverspannungen.";nein;Mimische Muskulatur;3;0;ja;M. occipitofrontalis;occipitofrontalis-head-mimikmuskulatur-zieht-kopfhaut-nach-dorsal;
M. orbicularis oculi;;Kopf & Hals;Mimikmuskulatur;Augenlid;Mimik & Kopfmuskulatur;Orbitarand und Tarsalregion (umgibt die Orbita ringförmig);Haut um die Orbita, Tarsalregion und medialer Lidwinkel;Der M. orbicularis oculi schließt das Auge. Die Pars palpebralis sorgt für spontanen Lidschluss, die Pars orbitalis für festes Zusammenkneifen.;Lidschluss (willkürlich und reflektorisch);N. facialis (VII);;Bei peripherer Fazialisparese kommt es zum inkompletten Lidschluss (Lagophthalmus), was zu schwerer Hornhautschädigung (Expositionskeratitis) führen kann.;nein;Mimische Muskulatur;1;0;ja;M. orbicularis oculi;orbicularis-oculi;
M. orbicularis oris;;Kopf & Hals;Mimikmuskulatur;Mund;Mimik & Kopfmuskulatur;Haut und Muskulatur der Lippen, Modiolus;Haut und Muskulatur der Lippen (orbitalе und marginale Faserbündel);"Der M. orbicularis oris schließt die Lippen und formt sie für Sprechen, Pusten und Pfeifen; seine oberflächlichen und tiefen Faserbündel wirken zusammen, um Mund und Lippen präzise zu steuern.";Mundschluss · Lippenformung · Pusten · Sprechen;N. facialis (VII), Rr. buccales und marginales mandibulares;;"Bei peripherer Fazialisparese ist der M. orbicularis oris gelähmt; es kommt zu inkomplettem Lippenschluss (Mundsegelphänomen), Speichelfluss und beeinträchtigter Artikulation.";nein;Mimische Muskulatur;1;0;ja;M. orbicularis oris;orbicularis-oris;
M. procerus;;Kopf & Hals;Mimikmuskulatur;Nase · Stirn;Mimik & Kopfmuskulatur;Nasenwurzel / Dorsalfläche der Nase (Nasenknorpel und Os nasale);Haut über der Glabella und der unteren Stirn;"Der M. procerus zieht die Haut über der Glabella nach kaudal und erzeugt Querfalten an der Nasenwurzel; er senkt den medialen Augenbrauenanteil und antagonisiert den M. frontalis.";Runzeln über Nasenwurzel · Senken des medialen Augenbrauenanteils;N. facialis (VII);;"Hyperaktivität führt zu queren Falten an der Nasenwurzel; Zielmuskel bei Botulinum-Toxin-Therapie für Zornesfalten.";nein;Mimische Muskulatur;3;0;ja;M. procerus;procerus;
M. pterygoideus lateralis;;Kopf & Hals;Kaumuskulatur;Kiefergelenk;Mimik & Kopfmuskulatur;"Caput superius: Facies infratemporalis des Os sphenoidale; Caput inferius: Caput laterale des Proc. condylaris";"Capsula articularis und Discus articularis (Caput superius); Proc. condylaris mandibulae (Caput inferius)";Der M. pterygoideus lateralis öffnet bei beidseitiger Kontraktion den Mund und zieht den Unterkiefer nach vorn. Bei einseitiger Aktivität verschiebt er den Unterkiefer zur Gegenseite (Laterotrusion) und ermöglicht damit Mahlbewegungen.;Mundöffnung (Abduktion) · Protrusion · Laterotrusion;N. pterygoideus lateralis (V3, N. trigeminus);;"Der M. pterygoideus lateralis ist der Schlüsselmuskel für Kieferöffnung und Mahlbewegungen; bei CMD und Kiefergelenksarthropathien ist er häufig verspannt und verursacht präaurikuläre Schmerzen und Kieferknacken.";nein;Kaumuskulatur;2;0;ja;M. pterygoideus lateralis;pterygoideus-lateralis;
