Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. obliquus externus abdominis;;Wirbelsäule & Rumpf;Bauchmuskulatur;Rumpf;Bauchwand & Beckenboden;Außenfläche der 5.–12. Rippe;Crista iliaca, Lig. inguinale, Linea alba, Rektusscheide;"Beidseitig zieht der M. obliquus externus den Brustkorb nach unten und beugt den Rumpf; einseitig dreht er die Rumpfmittellinie zur Gegenseite und unterstützt die Lateralflexion zur eigenen Seite. Er ist zudem wesentlich an der Erhöhung des intraabdominalen Drucks beteiligt.";Flexion · Lateralflexion ipsilateral · Rotation kontralateral;Nn. intercostales, N. iliohypogastricus, N. ilioinguinalis;Th5–Th12;Bauchpresse, Leistenkanal;nein;Bauchwand;1;0;ja;M. obliquus externus abdominis;obliquus-externus-abdominis
M. obliquus internus abdominis;;Wirbelsäule & Rumpf;Bauchmuskulatur;Rumpf;Bauchwand & Beckenboden;Fascia thoracolumbalis, Crista iliaca, Lig. inguinale;Rippenknorpel 10–12, Linea alba, Rektusscheide;"Beidseits aktiviert beugt der M. obliquus internus den Rumpf; einseitig erzeugt er eine Rotation zur gleichen Seite sowie eine Lateralflexion ipsilateral. Zusammen mit dem M. transversus abdominis trägt er wesentlich zur Rumpfstabilisation bei.";Flexion · Lateralflexion ipsilateral · Rotation ipsilateral;Nn. intercostales, N. iliohypogastricus, N. ilioinguinalis;Th8–Th12;Bauchpresse, stabilisiert Rumpf;nein;Bauchwand;1;0;ja;M. obliquus internus abdominis;obliquus-internus-abdominis
M. quadratus lumborum;;Wirbelsäule & Rumpf;Bauchmuskulatur;Rumpf · LWS;Wirbelsäule · Bauchwand & Beckenboden;Crista iliaca, Lig. iliolumbale;12. Rippe, Procc. costarii L1–L4;"Hebt einseitig das Becken und neigt die LWS zur gleichen Seite; beidseitig stabilisiert er Lendenregion und 12. Rippe";Lateralflexion · Extension · Rippensenkung;Plexus lumbalis;Th12, L1–L4;LWS-Schmerzen, Beckenschiefstand;nein;;2;0;ja;M. quadratus lumborum;quadratus-lumborum
M. rectus abdominis;;Wirbelsäule & Rumpf;Bauchmuskulatur;Rumpf;Bauchwand & Beckenboden;Proc. xiphoideus, Rippenknorpel 5–7;Symphysis pubica, Os pubis;Der M. rectus abdominis beugt den Rumpf nach ventral, indem er Brustkorb und Becken annähert. Darüber hinaus erhöht er den intraabdominalen Druck und unterstützt damit Bauchpresse, Defäkation, Miktion und Geburt.;Flexion · Kompression;Nn. intercostales;Th5–Th12;Rektusdiastase, Bauchpresse;nein;Bauchwand;1;0;ja;M. rectus abdominis;rectus-abdominis
M. transversus abdominis;;Wirbelsäule & Rumpf;Bauchmuskulatur;Rumpf;Bauchwand & Beckenboden;Innenfläche der 7.–12. Rippenknorpel, Fascia thoracolumbalis, Crista iliaca, Lig. inguinale;Linea alba, Rektusscheide;Der M. transversus abdominis umgibt den Rumpf wie ein muskuläres Korsett und erhöht bei Kontraktion den intraabdominalen Druck. Er ist der wichtigste Stabilisator der Lendenwirbelsäule und des Beckens und bildet die Grundlage jeder Core-Stabilisation.;Kompression (Bauchpresse);Nn. intercostales, N. iliohypogastricus, N. ilioinguinalis;Th7–Th12;Wichtigster Core-Stabilisator, feedforward-Aktivierung;nein;Bauchwand;2;0;ja;M. transversus abdominis;transversus-abdominis
M. coccygeus;;Wirbelsäule & Rumpf;Beckenboden;Becken;Bauchwand & Beckenboden;Spina ischiadica;Lateraler Rand des Os sacrum und Os coccygis (oberer Teil);"Der M. coccygeus hebt den Beckenboden an und zieht das Os coccygis nach ventral; damit sichert er die Lage der Beckeneingeweide und trägt zur Erhöhung des intraabdominalen Drucks bei, etwa beim Husten, Pressen oder Niesen.";Stützt Beckeneingeweide;Plexus sacralis;S4, S5;Beckenbodenschwäche, Inkontinenz;nein;Beckenboden;3;0;ja;M. coccygeus;coccygeus
M. levator ani;;Wirbelsäule & Rumpf;Beckenboden;Becken;Bauchwand & Beckenboden;"M. puborectalis: Corpus ossis pubis; M. pubococcygeus: Arcus tendineus m. levatoris ani; M. iliococcygeus: Spina ischiadica";"Os coccygis; Lig. anococcygeum";Der M. levator ani bildet die muskuläre Hauptplatte des Beckenbodens und übernimmt mehrere Aufgaben gleichzeitig: Er trägt die Beckenorgane, sichert Harn- und Stuhlkontinenz und hebt bei Kontraktion den Beckenboden an. Zudem verengt er Harnröhre und Rektum reflektorisch bei intraabdominaler Druckerhöhung.;Stützt Beckeneingeweide · Kontinenz;Plexus sacralis, N. pudendus;S3, S4;Beckenbodenschwäche, Inkontinenz, Deszensus;nein;Beckenboden;2;0;ja;M. levator ani;levator-ani
M. transversus perinei profundus;;Wirbelsäule & Rumpf;Beckenboden;Becken;Bauchwand & Beckenboden;Rami der Ossa ischii;Rami der Ossa ischii (Gegenseite);Spannt die tiefe Urogenitalplatte quer aus und unterstützt Kontinenz sowie Organhalt;Stützt Beckeneingeweide;N. pudendus;S2, S3, S4;Beckenbodenschwäche;nein;Beckenboden;3;0;ja;M. transversus perinei profundus;transversus-perinei-profundus
M. transversus perinei superficialis;;Wirbelsäule & Rumpf;Beckenboden;Becken;Bauchwand & Beckenboden;Tuber ischiadicum;Corpus perineale;Stabilisiert das perineale Zentrum und unterstützt den oberflächlichen Beckenboden;Stützt Beckeneingeweide;N. pudendus;S2, S3, S4;Beckenbodenschwäche;nein;Beckenboden;3;0;ja;M. transversus perinei superficialis;transversus-perinei-superficialis
M. semispinalis;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule · Kopf;Wirbelsäule;"M. semispinalis capitis: Procc. transversi der hochthorakalen Wirbel und C3–C6; M. semispinalis cervicis: Procc. transversi der thorakalen Wirbel und C7; M. semispinalis thoracis: Procc. transversi Th7–Th12";"Linea nuchalis superior/inferior (capitis); Procc. spinosi C2–Th1 (cervicis); Procc. spinosi Th1–Th6, C6–C7 (thoracis)";"Beidseitig aktiv streckt der M. semispinalis HWS und BWS kräftig durch; bei einseitiger Kontraktion dreht er den Kopf und die Halswirbelsäule zur Gegenseite, was ihm eine wichtige Rolle bei Rotationsbewegungen des Kopfes verleiht.";Extension · Rotation kontralateral;Rr. dorsales der Spinalnerven;;Wichtiger Kopf- und Nackenextensor;nein;Autochthone Rückenmuskulatur — medialer Trakt;2;0;ja;M. semispinalis;semispinalis
