Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id);Liegt auch in
M. biceps brachii;;Obere Extremität;Ellenbogen;Art. cubiti · Art. humeri;Schultergelenk · Ellenbogen;"Caput longum: Tuberculum supraglenoidale scapulae und Labrum glenoidale; Caput breve: Proc. coracoideus scapulae";"Tuberositas radii; Lacertus fibrosus / Fascia antebrachii";Schulter: Flexion, teils Abduktion oder Adduktion je nach Kopf. Ellenbogen: Flexion und Supination;Flexion · Supination;N. musculocutaneus;C5, C6, C7;Bizepssehnenruptur, LBS-Tendinitis;nein;;1;3;ja;M. biceps brachii;biceps-brachii;Ellenbogen
M. coracobrachialis;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Proc. coracoideus der Scapula;Margo medialis humeri;Flexion und Adduktion im Schultergelenk;Flexion · Adduktion;N. musculocutaneus;C6, C7;N. musculocutaneus-Lähmung;nein;;1;2;ja;M. coracobrachialis;coracobrachialis;
M. deltoideus;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;"Pars clavicularis: Extremitas acromialis der Clavicula; Pars acromialis: Akromion; Pars spinalis: Spina scapulae";Tuberositas deltoidea humeri;"Vor allem Abduktion; je nach Faserzug zusätzlich Flexion, Extension sowie Innen- oder Außenrotation";Abduktion · Flexion · Extension · Innenrotation · Außenrotation;N. axillaris;C5, C6;N. axillaris-Lähmung, Schulterluxation;nein;;1;3;ja;M. deltoideus;deltoideus;
M. infraspinatus;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Fossa infraspinata der Scapula;Mittlerer Teil des Tuberculum majus, Gelenkkapsel;"Außenrotation; unterstützt die Abduktion bzw. Adduktion je nach Faseranteil";Außenrotation · Abduktion · Adduktion;N. suprascapularis;C4, C5, C6;Rotatorenmanschettenruptur;nein;Rotatorenmanschette;1;2;ja;M. infraspinatus;infraspinatus;
M. latissimus dorsi;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Procc. spinosi Th7–Th12, Fascia thoracolumbalis, Crista iliaca (hinterer Teil), 10.–12. Rippe;Crista tuberculi minoris humeri;"Extension, Adduktion und Innenrotation im Schultergelenk; zieht den Rumpf bei fixierten Armen heran";Extension · Adduktion · Innenrotation;N. thoracodorsalis;C6, C7, C8;Klimmzugmuskel, Verkürzung bei Rundrücken;nein;;1;1;ja;M. latissimus dorsi;latissimus-dorsi;
M. pectoralis major;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;"Pars clavicularis: Mediale Clavicula; Pars sternocostalis: Ventrale Sternumseite und 2.–6. Rippenknorpel; Pars abdominalis: Rektusscheide";Crista tuberculi majoris humeri;"Adduktion und Innenrotation; je nach Anteil zusätzlich Flexion oder Extension im Schultergelenk";Adduktion · Innenrotation · Flexion;Nn. pectorales mediales et laterales;C5, C6, C7, C8, Th1;Pectoralis-major-Ruptur, Verkürzung bei Protraktionshaltung;nein;;1;2;ja;M. pectoralis major;pectoralis-major;
M. subscapularis;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Fossa subscapularis der Scapula (ventrale Seite);Crista tuberculi minoris humeri;Innenrotation und Adduktion im Schultergelenk;Innenrotation · Adduktion;N. subscapularis;C5, C6;Rotatorenmanschettenruptur, Subscapularis-Insuffizienz;nein;Rotatorenmanschette;1;3;ja;M. subscapularis;subscapularis;
M. supraspinatus;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Fossa supraspinata der Scapula;Kranialer Teil des Tuberculum majus, Gelenkkapsel;"Initiiert die Abduktion; unterstützt die Außenrotation";Abduktion · Außenrotation;N. suprascapularis;C4, C5, C6;Impingement-Syndrom, Rotatorenmanschettenruptur;nein;Rotatorenmanschette;1;2;ja;M. supraspinatus;supraspinatus;
M. teres major;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Kaudaler Teil der Margo lateralis und Angulus inferior der Scapula;Crista tuberculi minoris humeri;Innenrotation, Adduktion und Extension im Schultergelenk;Innenrotation · Adduktion · Extension;N. subscapularis;C5, C6, C7;Verkürzung bei Innenrotationskontraktur;nein;;1;2;ja;M. teres major;teres-major;
M. teres minor;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Margo lateralis der Scapula;Kaudaler Teil des Tuberculum majus, Gelenkkapsel;Außenrotation und Adduktion im Schultergelenk;Außenrotation · Adduktion;N. axillaris;C5, C6;Rotatorenmanschettenruptur;nein;Rotatorenmanschette;1;2;ja;M. teres minor;teres-minor;
M. triceps brachii – Caput longum;;Obere Extremität;Ellenbogen;Art. cubiti · Art. humeri;Schultergelenk · Ellenbogen;Tuberculum und Labrum infraglenoidale scapulae;Olecranon ulnae;"Extension im Ellenbogen; unterstützt Extension und Adduktion im Schultergelenk";Extension · Adduktion;N. radialis;C6, C7, C8;Trizepssehnenruptur;nein;;1;3;ja;M. triceps brachii – Caput longum;triceps-brachii-caput-longum;Ellenbogen
