Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. sternocleidomastoideus;;Kopf & Hals;Halsmuskulatur;Kopfgelenke;Wirbelsäule;"Caput sternale: Manubrium sterni; Caput claviculare: Mediales Klavikuladrittel";"Proc. mastoideus; Linea nuchalis superior (lateraler Anteil)";"Beidseitig zieht der M. sternocleidomastoideus den Kopf in Inklination (Nickbewegung); einseitig rotiert er den Kopf zur Gegenseite und neigt ihn zur gleichen Seite. Er ist zudem ein wichtiger Atemhilfsmuskel bei forcierter Inspiration.";Rotation kontralateral · Lateralflexion ipsilateral · Inklination (bilateral);N. accessorius (XI), Plexus cervicalis C2–C3;C2–C3;"Der M. sternocleidomastoideus ist klinisch bedeutsam beim muskulären Schiefhals (Torticollis); er wird außerdem als Atemhilfsmuskel bei obstruktiver Lungenerkrankung aktiviert und ist ein wichtiges Leitgebilde für Halsoperationen.";nein;;1;0;ja;M. sternocleidomastoideus;sternocleidomastoideus
Platysma;;Kopf & Hals;Halsmuskulatur;Hals · Mandibula;Mimik & Kopfmuskulatur;Faszie über M. pectoralis major und M. deltoideus (Haut der Schulter/oberen Brust);Unterkiefer (Basis mandibulae), Mundwinkel, Gesichtshaut;"Das Platysma spannt die Halshaut und zieht Mundwinkel sowie Unterlippe nach kaudolateral; es unterstützt die Mandibelabsenkung bei weit geöffnetem Mund und drückt Anspannung oder Erschrecken mimisch aus.";Spannt Halshaut · zieht Mundwinkel nach kaudolateral · unterstützt Mandibelabsenkung;N. facialis (VII), Ramus colli;;"Bei Fazialisparese (Ramus colli) geschwächt; abgeflachte Halskontur und eingeschränkte Mundwinkelabsenkung auf der betroffenen Seite.";nein;Mimische Muskulatur;2;0;ja;Platysma;platysma
M. omohyoideus;;Kopf & Hals;Infrahyoidale Muskeln;Zungenbein;Zungenbein & Kehlkopf;Margo superior scapulae (medial der Incisura scapulae);Corpus ossis hyoidei (Cornu majus);"Der M. omohyoideus senkt das Zungenbein nach kaudal und spannt die mittlere Halsfaszie; durch die Spannung der Fascia cervicalis media hält er die V. jugularis interna offen und verhindert deren venösen Kollaps.";Zungenbeinabsenkung · Spannung der Halsfaszie;Ansa cervicalis;C1–C3;"Der M. omohyoideus spannt die tiefe Halsfaszie und verhindert dadurch einen venösen Stau in der V. jugularis interna; klinisch ist er bei Nackendissektionen relevant, da er als anatomische Leitstruktur dient.";nein;Infrahyoidale Muskeln;2;0;ja;M. omohyoideus;omohyoideus
M. sternohyoideus;;Kopf & Hals;Infrahyoidale Muskeln;Zungenbein;Zungenbein & Kehlkopf;Manubrium sterni und Articulatio sternoclavicularis;Corpus ossis hyoidei;Der M. sternohyoideus senkt das Zungenbein nach dem Schluckakt wieder in die Ruhelage und zieht es nach kaudal. Er spielt zudem bei der Regulierung der Kehlkopfposition während der Phonation eine wichtige Rolle.;Zungenbeinabsenkung;Ansa cervicalis;C1–C3;"Als infrahyoidaler Muskel senkt der M. sternohyoideus das Zungenbein nach dem Schlucken wieder ab; bei Zustand nach Laryngektomie oder Nackendissektionen kann er in seiner Funktion eingeschränkt sein.";nein;Infrahyoidale Muskeln;1;0;ja;M. sternohyoideus;sternohyoideus
M. sternothyroideus;;Kopf & Hals;Infrahyoidale Muskeln;Kehlkopf;Zungenbein & Kehlkopf;Manubrium sterni (Innenfläche);Cartilago thyroidea (Linea obliqua);"Der M. sternothyroideus zieht den Kehlkopf nach kaudal; er senkt die Stimmlippen und ermöglicht damit tiefere Tonlagen. Nach dem Schlucken führt er gemeinsam mit den anderen infrahyoidalen Muskeln den Kehlkopf in die Ausgangsposition zurück.";Kehlkopfabsenkung;Ansa cervicalis;C1–C3;"Der M. sternothyroideus senkt den Kehlkopf nach dem Schlucken wieder ab und ist für tiefe Töne bei der Phonation mitverantwortlich; nach Schilddrüsenoperationen kann er vernäht oder durchtrennt sein.";nein;Infrahyoidale Muskeln;1;0;ja;M. sternothyroideus;sternothyroideus
M. thyrohyoideus;;Kopf & Hals;Infrahyoidale Muskeln;Kehlkopf · Zungenbein;Zungenbein & Kehlkopf;Linea obliqua der Cartilago thyroidea;Cornu majus des Os hyoideum;"Der M. thyrohyoideus nähert Schildknorpel und Zungenbein an; bei fixiertem Zungenbein hebt er den Kehlkopf an, bei fixiertem Kehlkopf senkt er das Zungenbein. Er ist ein wichtiger Muskel bei der laryngealen Elevation beim Schlucken.";Annäherung von Kehlkopf und Zungenbein · Kehlkopfhebung;R. thyrohyoideus (aus C1 über N. hypoglossus XII);C1;"Der M. thyrohyoideus nähert beim Schlucken Zungenbein und Kehlkopf einander an und erleichtert so den Verschluss des Kehlkopfeingangs; Lähmungen durch N.-hypoglossus-Läsionen (R. thyrohyoideus aus C1) können Aspirationen begünstigen.";nein;Infrahyoidale Muskeln;2;0;ja;M. thyrohyoideus;thyrohyoideus
M. masseter;;Kopf & Hals;Kaumuskulatur;Kiefergelenk;Mimik & Kopfmuskulatur;Arcus zygomaticus (unterer Rand und Innenfläche);Tuberositas masseterica (Außenfläche des Ramus mandibulae);Der M. masseter ist der kräftigste Kaumuskel: Er schließt den Mund und hebt den Unterkiefer an. Der oberflächliche Anteil ermöglicht zusätzlich eine Protrusion des Unterkiefers, der tiefe Anteil zieht ihn nach posterior.;Mundschluss (Adduktion des Unterkiefers) · Protrusion;N. massetericus (V3, N. trigeminus);;"Der M. masseter ist der häufigste Ort für Bruxismus-bedingte Muskelhypertrophie; bei Kiefergelenks-Dysfunktionen (CMD) ist er oft druckschmerzhaft und kann zu Kopf- und Ohrschmerzen führen.";nein;Kaumuskulatur;1;0;ja;M. masseter;masseter
M. pterygoideus lateralis;;Kopf & Hals;Kaumuskulatur;Kiefergelenk;Mimik & Kopfmuskulatur;"Caput superius: Facies infratemporalis des Os sphenoidale; Caput inferius: Caput laterale des Proc. condylaris";"Capsula articularis und Discus articularis (Caput superius); Proc. condylaris mandibulae (Caput inferius)";Der M. pterygoideus lateralis öffnet bei beidseitiger Kontraktion den Mund und zieht den Unterkiefer nach vorn. Bei einseitiger Aktivität verschiebt er den Unterkiefer zur Gegenseite (Laterotrusion) und ermöglicht damit Mahlbewegungen.;Mundöffnung (Abduktion) · Protrusion · Laterotrusion;N. pterygoideus lateralis (V3, N. trigeminus);;"Der M. pterygoideus lateralis ist der Schlüsselmuskel für Kieferöffnung und Mahlbewegungen; bei CMD und Kiefergelenksarthropathien ist er häufig verspannt und verursacht präaurikuläre Schmerzen und Kieferknacken.";nein;Kaumuskulatur;2;0;ja;M. pterygoideus lateralis;pterygoideus-lateralis
M. pterygoideus medialis;;Kopf & Hals;Kaumuskulatur;Kiefergelenk;Mimik & Kopfmuskulatur;"M. pterygoideus medialis (Pars superficialis): Fossa pterygoidea; Tuber maxillae";Tuberositas pterygoidea (Innenfläche des Ramus mandibulae);Der M. pterygoideus medialis schließt gemeinsam mit dem M. masseter den Mund und hebt den Unterkiefer an. Er ermöglicht zudem Protrusion und Mahlbewegungen des Unterkiefers (Laterotrusion zur Gegenseite).;Mundschluss · Protrusion · Laterotrusion;N. pterygoideus medialis (V3, N. trigeminus);;"Der M. pterygoideus medialis ist bei Kiefergelenks-Dysfunktionen (CMD) oft verspannt; zusammen mit dem M. masseter bildet er die sogenannte Masseterschlinge, Spannungen können Schluckbeschwerden und Trismus auslösen.";nein;Kaumuskulatur;2;0;ja;M. pterygoideus medialis;pterygoideus-medialis
M. temporalis;;Kopf & Hals;Kaumuskulatur;Kiefergelenk;Mimik & Kopfmuskulatur;Fossa temporalis und Fascia temporalis;Proc. coronoideus mandibulae und Vorderkante des Ramus mandibulae;Der M. temporalis hebt den Unterkiefer und schließt damit den Mund. Die hinteren Fasern ziehen den vorgeschobenen Unterkiefer nach dorsal (Retrusion) und sind damit der wichtigste Antagonist zur Protrusion.;Mundschluss · Retrusion des Unterkiefers;N. temporalis profundus (V3, N. trigeminus);;"Triggerpunkte im M. temporalis sind eine häufige Ursache für Schläfen- und Stirnkopfschmerzen sowie Zahnschmerzen; er ist bei Kiefergelenks-Dysfunktionen und Bruxismus mitbetroffen.";nein;Kaumuskulatur;1;0;ja;M. temporalis;temporalis
