Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. abductor digiti minimi;;Obere Extremität;Hand & Finger;MCP;Hand;Os pisiforme;Basis der Grundphalanx des V. Fingers, ulnares Sesambein;"Abduktion des kleinen Fingers; unterstützt die MCP-Extension";Ulnarabduktion · Extension;N. ulnaris;C8, Th1;Ulnarisparese;nein;;2;1;ja;M. abductor digiti minimi#manus;abductor-digiti-minimi-upper-hand-ulnarabduktion
M. abductor digiti minimi;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh V;Sprunggelenk & Fuß;Tuber calcanei (Proc. lateralis) und Lig. plantare longum;Zeh V, Tuberositas ossis metatarsalis V und proximale Phalanx (laterale Seite);"Abduziert und beugt die Kleinzehe im MTP-Gelenk; stabilisiert den lateralen Fußrand";Zeh V: Flexion und Abduktion des MTP-Gelenks;N. tibialis (N. plantaris lateralis);;Bursitis am Tuber calcanei lateral und der sog. Tailor's bunion (Prominenz des fünften Mittelfußköpfchens) gehen häufig mit Reizung des Abductor digiti minimi einher;nein;;1;1;ja;M. abductor digiti minimi;abductor-digiti-minimi-lower-fuss-zeh-v-flexion-und-abduktion-des-mtp-gelenks
M. abductor hallucis;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh I;Sprunggelenk & Fuß;Proc. medialis des Tuber calcanei, Retinaculum flexorum und Aponeurosis plantaris;Basis der proximalen Phalanx des I. Zehs und mediales Sesambein;"Abduziert die Großzehe vom zweiten Strahl weg; beugt sie im MTP-Gelenk; unterstützt das mediale Längsgewölbe";Zeh I: Flexion und Abduktion (vom II. Strahl weg) des MTP-Gelenks;N. tibialis (N. plantaris medialis);;"Beim Hallux valgus ist die Abduktorkraft stark geschwächt; bei Plantarfasziitis ist der Ursprung am Kalkaneus mitbetroffen";nein;;1;1;ja;M. abductor hallucis;abductor-hallucis
M. abductor pollicis brevis;;Obere Extremität;Hand & Finger;Daumensattelgelenk · MCP;Hand;Tuberculum ossis scaphoidei und Retinaculum flexorum;Basis der Grundphalanx des Daumens, radiales Sesambein;Führt den Daumen ab und unterstützt Oppositions- sowie Beugebewegungen;CMC-Flexion · Abduktion · Opposition;N. medianus;C6, C7;Medianusparese – Daumenballenatrophie;nein;Daumenballen (Thenar);2;1;ja;M. abductor pollicis brevis;abductor-pollicis-brevis
M. abductor pollicis longus;;Obere Extremität;Hand & Finger;Art. manus · Daumensattelgelenk;Hand;Facies posterior von Ulna und Radius und Membrana interossea;Basis der radialen Seite des Os metacarpale I;"Abduktion und Extension des Daumens im Sattelgelenk; unterstützt die Radialabduktion";Radialabduktion · CMC-Extension · CMC-Abduktion;N. radialis;C6, C7, C8;Tendovaginitis de Quervain;nein;;2;1;ja;M. abductor pollicis longus;abductor-pollicis-longus
M. adductor brevis;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os pubis, Ramus inferior;Linea pectinea (distal) und Linea aspera (proximal);"Führt den Oberschenkel zur Körpermitte (Adduktion); unterstützt zugleich die Hüftbeugung und eine leichte Außenrotation";Adduktion · Flexion · Außenrotation;N. obturatorius;L2, L3, L4;"Häufig zusammen mit anderen Adduktoren bei Zerrungen beteiligt; relativ kurzer Hebelarm und schmale Muskelmasse";nein;Adduktorengruppe der Hüfte;2;1;ja;M. adductor brevis;adductor-brevis
M. adductor hallucis;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh I;Sprunggelenk & Fuß;"Caput obliquum: Os metatarsale II–V (Basis); Os cuboideum, Os cuneiforme III und Lig. plantare longum; Caput transversum: Kapsel der Art. MTP II–V und Lig. metatarseum transversum profundum";Basis der proximalen Phalanx des I. Zehs und laterales Sesambein;"Adduziert die Großzehe zum zweiten Strahl; beugt das MTP-Gelenk; verspannt das Quergewölbe (Caput transversum)";Zeh I: Flexion und Adduktion (zum II. Strahl hin) des MTP-Gelenks;N. tibialis (N. plantaris lateralis);;"Beim Hallux valgus gilt überaktive Adduktorenaktivität als mitverursachend für die mediale Deviation des ersten Strahls; enges Schuhwerk begünstigt dies";nein;;3;1;ja;M. adductor hallucis;adductor-hallucis
M. adductor longus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os pubis, Ramus superior und inferior;Linea aspera des Femur (Mitte);"Führt den Oberschenkel zur Körpermitte (Adduktion); unterstützt zugleich die Hüftbeugung und eine leichte Außenrotation";Flexion · Adduktion · Außenrotation;N. obturatorius;L2, L3, L4;"Häufig zusammen mit anderen Adduktoren bei Zerrungen beteiligt; relativ kurzer Hebelarm und schmale Muskelmasse";nein;Adduktorengruppe der Hüfte;1;1;ja;M. adductor longus;adductor-longus
M. adductor magnus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;"Pars superior: Os pubis, Ramus inferior und Ramus ossis ischii; Pars media: Ramus ossis ischii; Pars inferior: Tuber ischiadicum";"Linea aspera (proximal); Linea aspera (distal); Tuberculum adductorium";"Kräftiger Adduktor des Hüftgelenks; streckt die Hüfte (insbesondere der ischiokrurale Anteil); der pubische Anteil rotiert nach außen, der ischiokrurale Anteil nach innen";Adduktion · Extension · Außenrotation · Innenrotation;N. obturatorius, N. tibialis;L2, L3, L4, L5, S1;"Der Hiatus adductorius in diesem Muskel ist klinisch bedeutsam, da A. und V. femoralis hindurchtreten; Adduktorenzerrungen betreffen häufig die ischiale Ursprungspartie";nein;Adduktorengruppe der Hüfte;2;1;ja;M. adductor magnus;adductor-magnus
M. adductor pollicis;;Obere Extremität;Hand & Finger;Daumensattelgelenk · MCP;Hand;"Caput obliquum: Os trapezoideum, Os capitatum, Basis Os metacarpale II, Ligg. metacarpalia palmaria; Caput transversum: Palmare Seite des Os metacarpale III";Basis der Grundphalanx des Daumens, ulnares Sesambein;"Adduktion des Daumens; unterstützt Reposition und Flexion im Sattelgelenk";CMC-Flexion · Adduktion · Reposition;N. ulnaris;C8, Th1;Froment-Zeichen bei Ulnarisparese;nein;Daumenballen (Thenar);2;2;ja;M. adductor pollicis;adductor-pollicis
